FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
SAKURA JAPAN STEAK & SEAFOOD,"11502 MIDDLEBROOK ROAD , GERMANTOWN, MD 20876",8/4/2017,REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED; $400 + ALERT,9/12/2017
GENTLEMAN JIM'S RESTAURANT,"18917 EARHART COURT , GAITHERSBURG, MD 20879",9/10/2017,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,11/9/2017
NORTHWEST PARK GOLF SNACK BAR,"15701 LAYHILL ROAD , SILVER SPRING, MD 20906",11/5/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,12/6/2017
SPENCERVILLE MARKET,"2215 SPENCERVILLE ROAD , SPENCERVILLE, MD 20860",11/5/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,12/11/2017
MAMMA LUCIA,"1302 EAST WEST HGWY. , SILVER SPRING, MD 20910",9/27/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/25/2017
GENTLEMAN JIM'S RESTAURANT,"18917 EARHART COURT , GAITHERSBURG, MD 20879",9/10/2017,SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000 + ALERT,11/9/2017
SPENCERVILLE MARKET,"2215 SPENCERVILLE ROAD , SPENCERVILLE, MD 20860",11/5/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,12/11/2017
GENTLEMAN JIM'S RESTAURANT,"18917 EARHART COURT , GAITHERSBURG, MD 20879",8/20/2017,SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000 + ALERT,11/9/2017
IL PIZZICO,"15209 FREDERICK ROAD , ROCKVILLE, MD 20850-1112",8/25/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,9/19/2017
4935 BAR & KITCHEN,"4935 CORDELL AVENUE , BETHESDA, MD 20814",3/4/2017,ACTS CONTRARY TO LAW,SETTLED; $2500 + ALERT,12/13/2017
BOBBY'S BURGER PALACE,"7101 DEMOCRACY BLVD. , BETHESDA, MD 20817",9/6/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,9/22/2017
CLYDES TOWER OAKS LODGE,"2 PRESERVE PKWY. , ROCKVILLE, MD 20852",9/15/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,10/20/2017
CANCUN MEXICAN CUISINE,"117 E. DIAMOND AVE. , GAITHERSBURG, MD 20877",9/10/2017,LICENSEES' RESPONSIBILITY,SETTLED; $500 + ALERT,11/6/2017
HOLIDAY INN EXPRESS & SUITES,"20260 GOLDENROD LANE , GERMANTOWN, MD 20876",8/25/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,9/13/2017
GORDON BIERSCH BREWERY RESTAURANT,"200 EAST MIDDLE LANE UNIT A, ROCKVILLE, MD 20850",8/24/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,9/22/2017
CLYDES TOWER OAKS LODGE,"2 PRESERVE PKWY. , ROCKVILLE, MD 20852",9/15/2017,RECORDS INVOICE VIOLATION,SETTLED; $500 + ALERT,10/20/2017
CLYDES TOWER OAKS LODGE,"2 PRESERVE PKWY. , ROCKVILLE, MD 20852",11/22/2017,PATRON LEAVING PREMISE WITH OPEN ALCOHOL CONTAINER,SETTLED; $500 + ALERT,12/18/2017
NORTHWEST PARK GOLF SNACK BAR,"15701 LAYHILL ROAD , SILVER SPRING, MD 20906",11/5/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,12/6/2017
CANCUN MEXICAN CUISINE,"117 E. DIAMOND AVE. , GAITHERSBURG, MD 20877",9/10/2017,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,11/6/2017
POOLESVILLE GOLF COURSE,"16601 WEST WILLARD RD , POOLESVILLE, MD 20837",11/5/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,12/6/2017
RATTLEWOOD GOLF COURSE,"13501 PENN SHOP ROAD , DAMASCUS, MD 20872",11/5/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,11/8/2017
SUMMER HOUSE SANTA MONICA/STELLA BARRA PIZZERIA,"11825 GRANDPARK AVENUE , ROCKVILLE, MD 20852",10/10/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/30/2017
CANCUN MEXICAN CUISINE,"117 E. DIAMOND AVE. , GAITHERSBURG, MD 20877",9/10/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,11/6/2017
KOREAN KORNER,"12207 VEIRS MILL ROAD , WHEATON, MD 20906",8/31/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/4/2017
BASSETT'S,"19950 FISHER AVE. , POOLESVILLE, MD 20837-2076",10/18/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,11/9/2017
NEW VILLAGE RESTAURANT,"11540 MIDDLEBROOK ROAD , GERMANTOWN, MD 20876",8/4/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,9/11/2017
NEW VILLAGE RESTAURANT,"11540 MIDDLEBROOK ROAD , GERMANTOWN, MD 20876",8/4/2017,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,9/11/2017
THE YO YO CAFE,"13843 OUTLET DRIVE , SILVER SPRING, MD 20904",10/6/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,11/6/2017
GENTLEMAN JIM'S RESTAURANT,"18917 EARHART COURT , GAITHERSBURG, MD 20879",8/21/2017,SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000 + ALERT,11/9/2017
4935 BAR & KITCHEN,"4935 CORDELL AVENUE , BETHESDA, MD 20814",5/13/2017,DISORDERLY HOUSE,SETTLED; $1000 + ALERT,12/13/2017
GENTLEMAN JIM'S RESTAURANT,"18917 EARHART COURT , GAITHERSBURG, MD 20879",8/19/2017,SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000 + ALERT,11/9/2017
7-ELEVEN GLEN ECHO,"7305 MACARTHUR BLVD , BETHESDA, MD 20816",8/30/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,12/8/2017
BANGKOK GARDEN RESTAURANT,"4906 SAINT ELMO AVE. , BETHESDA, MD 20814-6008",9/17/2017,SALE TO MINOR,SETTLED; $2500 + ALERT,10/13/2017
LEBANESE TAVERNA,"7141 ARLINGTON ROAD , BETHESDA, MD 20814",9/15/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,11/30/2017
BETHESDA CO-OP,"6500 SEVEN LOCKS ROAD , CABIN JOHN, MD 20818",8/30/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,9/21/2017
THE THAI CUISINE RESTAURANT,"757 HUNGERFORD DRIVE , ROCKVILLE, MD 20850",7/28/2017,RECORDS INVOICE VIOLATION,SETTLED; $500 + ALERT,8/10/2017
TURNTABLE,"4862 CORDELL AVENUE , BETHESDA, MD 20814",9/12/2017,SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000 + ALERT,11/30/2017
CAFE DELUXE,"4910 ELM STREET , BETHESDA, MD 20814",9/15/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/9/2017
LUCKY STRIKE,"7101 DEMOCRACY BLVD #1022, BETHESDA, MD 20817",9/6/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/2/2017
OLD WORLD FAVORITES,"3854 INTERNATIONAL DRIVE , SILVER SPRING, MD 20906",7/31/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,9/5/2017
BRANDED 72,"387 EAST GUDE DRIVE , ROCKVILLE, MD 20850",10/13/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500 + ALERT,12/12/2017
LEBANESE TAVERNA,"7141 ARLINGTON ROAD , BETHESDA, MD 20814",9/15/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,11/30/2017
MAMMA LUCIA,"4916 ELM STREET , BETHESDA, MD 20814",9/15/2017,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,12/5/2017
DUCK DUCK GOOSE,"7929 NORFOLK GOOSE , BETHESDA, MD 20814",11/3/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,11/30/2017
BOULEVARD TAVERN,"311 KENTLANDS BOULEVARD , GAITHERSBURG, MD 20878",7/17/2017,DISORDERLY HOUSE,SETTLED; $1000 + ALERT,9/19/2017
EGGSPECTATION,"923 ELLSWORTH DRIVE , SILVER SPRING, MD 20910",11/8/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,11/29/2017
MIX BAR & GRILLE,"9812 FALLS RD , POTOMAC, MD 20854",8/30/2017,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,12/1/2017
GREATEST AMERICAN HOT DOGS,"7206 MUNCASTER MILL ROAD , DERWOOD, MD 20855",10/19/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,12/7/2017
M & N PIZZA,"7750 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",9/21/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/24/2017
BACCHUS OF LEBANON,"7945 NORFOLK AVE. , BETHESDA, MD 20814",11/3/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,12/1/2017
TURNTABLE,"4862 CORDELL AVENUE , BETHESDA, MD 20814",11/29/2017,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,11/30/2017
ARCLIGHT CINEMAS,"7101 DEMOCRACY BLVD , BETHESDA, MD 20817",9/6/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/2/2017
MISSON BBQ,"885 ROCKVILLE PIKE , ROCKVILLE, MD 20852",8/10/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/5/2017
SUMMIT HILLS MINI MART,"8518 16TH STREET , SILVER SPRING, MD 20910",9/27/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/23/2017
MAMMA LUCIA,"4916 ELM STREET , BETHESDA, MD 20814",9/15/2017,SALE TO MINOR,SETTLED; $2500 + ALERT,12/5/2017
DAWSON'S MARKET,"225 NORTH WASHINGTON , ROCKVILLE, MD 20850",8/4/2017,SALE TO MINOR,SETTLED; $2500 + ALERT,9/5/2017
SALA THAI BETHESDA,"4828 CORDELL AVE. , BETHESDA, MD 20814",9/21/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/20/2017
FONTINA GRILLE,"801 PLEASANT DRIVE , ROCKVILLE, MD 20850",7/16/2017,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,8/10/2017
MIX BAR & GRILLE,"9812 FALLS RD , POTOMAC, MD 20854",8/30/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,12/1/2017
BOULEVARD TAVERN,"311 KENTLANDS BOULEVARD , GAITHERSBURG, MD 20878",5/13/2017,DISORDERLY HOUSE,SETTLED; $2500 + ALERT,9/19/2017
THE THAI CUISINE RESTAURANT,"757 HUNGERFORD DRIVE , ROCKVILLE, MD 20850",7/28/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,8/10/2017
LE VIEUX LOGIS,"7925 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",11/3/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,11/29/2017
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",7/2/2017,DISPENSING LIQUOR BY BOTTLE FOR CONSUMPTION ONSITE,SETTLED; $1000 + ALERT,8/24/2017
VASILI'S KITCHEN,"705 CENTER POINT WAY , GAITHERSBURG, MD 20878",8/2/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,9/6/2017
BETHESDA CRAB HOUSE,"4958 BETHESDA AVE. , BETHESDA, MD 20814-5204",9/17/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/18/2017
EL PATIO,"5240 RANDOLPH ROAD , ROCKVILLE, MD 20852",8/25/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,9/14/2017
KENSINGTON SUB & PIZZA,"3701 UNIVERSITY BLVD. W. , KENSINGTON, MD 20895-2123",8/31/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/4/2017
TACO BAR,"3 RUSSELL AVE A, GAITHERSBURG, MD 20877",8/2/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,9/5/2017
ABI AZTECA GRILL,"11514 MIDDLEBROOK RD. , GERMANTOWN, MD 20874",8/4/2017,RECORDS INVOICE VIOLATION,SETTLED; $500 + ALERT,12/20/2017
TACO BAR,"3 RUSSELL AVE A, GAITHERSBURG, MD 20877",8/2/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,9/5/2017
SALA THAI BETHESDA,"4828 CORDELL AVE. , BETHESDA, MD 20814",9/21/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500 + ALERT,10/20/2017
TASTEE DINER,"8601 CAMERON STREET , SILVER SPRING, MD 20910",11/3/2017,SALE TO MINOR,SETTLED; $2500 + ALERT,11/29/2017
LILIT CAFE,"7921 OLD GEORGETOWN RD , BETHESDA, MD 20814",11/3/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,12/18/2017
MUSSEL BAR BY RW,"7262 WOODMONT AVENUE , BETHESDA, MD 20814",9/15/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/12/2017
CALIFORNIA PIZZA KITCHEN,"7101 DEMOCRACY BLVD. , BETHESDA, MD 20817",9/6/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/17/2017
FONTINA GRILLE,"801 PLEASANT DRIVE , ROCKVILLE, MD 20850",7/16/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,8/10/2017
GISELES CREOLE CUISINE,"2407 PRINCE AVENUE , SILVER SPRING, MD 20902",8/10/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,8/14/2017
LILIT CAFE,"7921 OLD GEORGETOWN RD , BETHESDA, MD 20814",11/3/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,12/18/2017
MISO CAFE,"33 MARYLAND AVENUE UNIT E , ROCKVILLE, MD 20850",8/24/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500 + ALERT,10/9/2017
NOT YOUR AVERAGE JOE'S,"8661 COLESVILLE ROAD , SILVER SPRING, MD 20910",11/8/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,12/6/2017
MIX BAR & GRILLE,"9812 FALLS RD , POTOMAC, MD 20854",8/30/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,12/1/2017
EL AGUILA RESTAURANT,"8649 16TH STREET , SILVER SPRING, MD 20910",9/27/2017,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,11/28/2017
MAMMA LUCIA,"4916 ELM STREET , BETHESDA, MD 20814",9/15/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,12/5/2017
MI RANCHO,"8701 RAMSEY LANE , SILVER SPRING, MD 20910",11/3/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,12/20/2017
PARKWAY DELICATESSEN,"8317 GRUBB ROAD , SILVER SPRING, MD 20910",12/6/2017,SALE TO MINOR,SETTLED; $2500 + ALERT,12/22/2017
ERTTERS SUPERMARKET,"521 DALE DRIVE , SILVER SPRING, MD 20910",12/6/2017,SALE TO MINOR,"SETTLED; $1,000+ ALERT",12/28/2017
ROCK BOTTOM BREWERY,"7900 NORFOLK AVE. , BETHESDA, MD 20814",12/8/2017,RECORDS INVOICE VIOLATION,SETTLED; $500 + ALERT,12/28/2017
WOODSIDE DELI,"9329 GEORGIA AVE. , SILVER SPRING, MD 20910",12/6/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,1/3/2018
CHARM THAI RESTAURANT,"8408 GEORGIA AVENUE UNIT A, SILVER SPRING, MD 20910",12/18/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,1/3/2018
ARAT KILO MARKET AND RESTAURANT,"818 EASLEY STREET , SILVER SPRING, MD 20910",12/5/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,1/10/2018
ISLAND PRIDE OASIS,"617 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",1/2/2018,RECORDS INVOICE VIOLATION,SETTLED; 500+ALERT,1/16/2018
UNION JACK'S,"4915 SAINT ELMO AVE. , BETHESDA, MD 20814",12/26/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,1/25/2018
CORNER PUB,"10111 SUTHERLAND ROAD , SILVER SPRING, MD 20901",12/6/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,1/8/2018
LUKE'S LOBSTER,"7129 BETHESDA LANE , BETHESDA, MD 20814",12/26/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,1/26/2018
ZENE'S DELI & WORLDMARKET,"8113 FENTON STREET , SILVER SPRING, MD 20910",12/5/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,1/8/2018
SHANGRI-LA,"7345 WISCONSIN AVENUE A, BETHESDA, MD 20814",1/4/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,1/29/2018
SHANGRI-LA,"7345 WISCONSIN AVENUE A, BETHESDA, MD 20814",1/4/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,1/29/2018
WOODMOOR SUPERMARKET,"10129 COLESVILLE ROAD , SILVER SPRING, MD 20901",12/6/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,1/29/2018
SHANGRI-LA,"7345 WISCONSIN AVENUE A, BETHESDA, MD 20814",1/4/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,1/29/2018
P.F. CHANG'S CHINA BISTRO,"5406 WISCONSIN AVENUE B, CHEVY CHASE, MD 20815",1/12/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,1/30/2018
CURRY PLACE,"12951 WISTERIA DRIVE , GERMANTOWN, MD 20874",10/30/2017,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,1/30/2018
PERUVIAN COUNTRY CHICKEN,"10118 COLESVILLE ROAD , SILVER SPRING, MD 20901",12/6/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,1/30/2018
PERUVIAN COUNTRY CHICKEN,"10118 COLESVILLE ROAD , SILVER SPRING, MD 20901",12/6/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,1/30/2018
GRINGOS & MARIACHIS,"4928 CORDELL AVENUE , BETHESDA, MD 20814",1/12/2018,SALE TO MINOR,SETTLED; $1000+ALERT,2/1/2018
CHEESE & WINE SHOPPE,"2501 ENNALLS AVE. , WHEATON, MD 20902",1/9/2018,SALE/SERVICE TO INTOXICATED PATRON,SETTLED; $2500 + ALERT,2/1/2018
PI PIZZERIA,"7137 WISCONSIN AVENUE , BETHESDA, MD 20814",1/4/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,2/5/2018
ALL SET,"8630 FENTON STREET , SILVER SPRING, MD 20910",1/17/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,2/5/2018
PI PIZZERIA,"7137 WISCONSIN AVENUE , BETHESDA, MD 20814",1/4/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,2/5/2018
BENIHANA OF TOKYO,"7935 WISCONSIN AVE. , BETHESDA, MD 20814",1/12/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,2/6/2018
BENIHANA OF TOKYO,"7935 WISCONSIN AVE. , BETHESDA, MD 20814",1/12/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,2/6/2018
GHAR-E-KABAB,"944 WAYNE AVENUE , SILVER SPRING, MD 20910",1/17/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,2/8/2018
PHOLUSCIOUS,"10048 DARNESTOWN ROAD , ROCKVILLE, MD 20850",1/24/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,2/8/2018
ARADA MARKET,"6844 NEW HAMPSHIRE AVE , TAKOMA PARK, MD 20912",1/17/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,2/8/2018
MIX BAR & GRILLE,"8241 GEORGIA AVENUE , SILVER SPRING, MD 20910",1/23/2018,SALE TO MINOR,SETTLED; $1000+ALERT,2/9/2018
LIMARIA POLLO A LA BRASA,"74 BUREAU DRIVE , GAITHERSBURG, MD 20878",1/17/2018,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100+ALERT,2/9/2018
SUYAMASTER,"2302 PRICE AVENUE , WHEATON, MD 20902",3/31/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/12/2018
LOTUS CAFE,"8077 GEORGIA AVE , SILVER SPRING, MD 20910",1/23/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,2/14/2018
SARDIS FUSION,"3418 OLNEY-LAYTONSVILLE ROAD , OLNEY, MD 20832",12/4/2017,FAILED TO LABEL PRODUCTS FROM DISPENSING APPARATUS,SETTLED; $500 + ALERT,2/13/2018
LOTUS CAFE,"8077 GEORGIA AVE , SILVER SPRING, MD 20910",1/23/2018,SALE TO MINOR,SETTLED; $2500 + ALERT,2/14/2018
BUMP N GRIND,"1200 EAST WEST HWY , SILVER SPRING, MD 20910",1/23/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,2/20/2018
ABYSSINIA RESTAURANT,"8221 GEORGIA AVENUE , SILVER SPRING, MD 20910",2/14/2018,SALE TO MINOR,SETTLED; $2500 + ALERT,2/27/2018
BUCA DI BEPPO,"122 KENTLANDS BLVD. , GAITHERSBURG, MD 20878",1/30/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,2/27/2018
COURTYARD BY MARRIOTT - SILVER SPRING,"8506 FENTON STREET , SILVER SPRING, MD 20910",2/14/2018,SALE TO MINOR,SETTLED; $2500 + ALERT,3/5/2018
WOK EXPRESS,"9615 LOST KNIFE ROAD , GAITHERSBURG, MD 20877",1/3/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500 + ALERT,3/6/2018
POCKET BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",9/16/2017,ACTS CONTRARY TO LAW,SETTLED; $500 + ALERT,2/15/2018
LITTLE DIPPER HOT POT SAUCE,"78101 A GIBBS STREET , ROCKVILLE, MD 20850",2/12/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,3/13/2018
WHITE OAK CONVENIENCE STORE,"11407 LOCKWOOD DRIVE , SILVER SPRING, MD 20904-2610",1/11/2018,SALE TO MINOR,SETTLED; $1000+ALERT,3/13/2018
BISTRO PROVENCE,"4933 FAIRMONT AVENUE , BETHESDA, MD 20814",2/28/2018,SALE TO MINOR,SETTLED; $1000+ALERT,3/19/2018
DINGNESH ETHIOPIAN RESTAURANT,"4865 CORDELL AVE , BETHESDA, MD 20814",2/28/2018,SALE TO MINOR,SETTLED; $1000+ALERT,3/22/2018
OLAZZO RESTAURANT,"8235 GEORGIA AVENUE , SILVER SPRING, MD 20910",2/14/2018,SALE TO MINOR,SETTLED; $1000+ALERT,3/22/2018
MI PUEBLITO RESTAURANT,"6 NORTH SUMMIT AVENUE , GAITHERSBURG, MD 20877",2/22/2018,RECORDS INVOICE VIOLATION,SETTLED; $500 + ALERT,3/22/2018
CALIFORNIA GRILL,"14 BUREAU DRIVE , GAITHERSBURG, MD 20877",1/17/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,3/13/2018
TIA QUETA RESTAURANT,"4839 DEL RAY AVE. , BETHESDA, MD 20814",2/28/2018,SALE TO MINOR,SETTLED; $1000+ALERT,3/26/2018
VILLAGE BEER & WINE,"5526 NORBECK ROAD , ROCKVILLE, MD 20853",2/27/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,3/26/2018
ANDY'S BEER AND WINE,"15523 NEW HAMPSHIRE AVE , SILVER SPRING, MD 20905",1/26/2018,STORAGE,SETTLED; $600+ALERT,3/15/2018
PASSAGE TO INDIA,"4931 CORDELL AVE. , BETHESDA, MD 20814",1/18/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,3/27/2018
ARMANDS CHICAGO PIZZERIA,"1909 SEMINARY ROAD , SILVER SPRING, MD 20910",1/6/2018,AGE OF EMPLOYEE VIOLATION,SETTLED; $1000 + ALERT,2/27/2018
BEATESUB MARKET & CARRYOUT,"8201 GEORGIA AVE , SILVER SPRING, MD 20910",2/14/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ ALERT,3/12/2018
KAYPI RESTAURANT,"2005 VEIRS MILL ROAD , ROCKVILLE, MD 20851",8/10/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,2/7/2018
RESTAURANT POLLOS EL MESON,"615 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",1/2/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,2/7/2018
LE PAIN QUOTIDIEN,"7140 BETHESDA LANE , BETHESDA, MD 20814",9/15/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; 100 + ALERT,4/4/2018
LE PAIN QUOTIDIEN,"7140 BETHESDA LANE , BETHESDA, MD 20814",9/15/2017,SALE TO MINOR,"SETTLED; 10,000 + ALERT",4/4/2018
DAVE & BUSTER'S,"8661 COLESVILLE RD , SILVER SPRING, MD 20910",3/8/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,4/6/2018
PROMENADE MARKET & DELI,"5225 POOKS HILL ROAD , BETHESDA, MD 20814",3/13/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,4/11/2018
LEDO PIZZA,"10301 WESTLAKE DRIVE , BETHESDA, MD 20817",3/13/2018,SALE TO MINOR,SETTLED; $1000+ALERT,4/11/2018
PROMENADE MARKET & DELI,"5225 POOKS HILL ROAD , BETHESDA, MD 20814",3/13/2018,SALE TO MINOR,SETTLED; $1000+ ALERT,4/11/2018
LUCY ETHIOPIAN RESTAURANT,"8301 GEORGIA AVENUE , SILVER SPRING, MD 20910",3/8/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,4/11/2018
SILVER SPRING MART,"8211 FENTON , SILVER SPRING, MD 20910",12/5/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,1/8/2018
MOTI'S MARKET,"4860 BOILING BROOK PKWY. , ROCKVILLE, MD 20852",8/31/2017,SALE TO MINOR,SETTLED; $2500 + ALERT,1/26/2018
